MariaDB [kokiri_apr23]> select cast(revision as integer) rev,repository,branch,when_timestamp from changes where length(revision) < 6 group by 1;
+------+---------------------------------------------------+---------------------------------------+----------------+
| rev  | repository                                        | branch                                | when_timestamp |
|   78 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |     1376453543 |
|   79 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |     1376489301 |
|   80 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |     1377009603 |
|   81 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |     1377274272 |
|   82 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |     1377927421 |
|   83 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |     1378128672 |
|   84 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |     1378313154 |
|   85 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |     1379341156 |
|   86 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |     1379436427 |
|   87 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |     1379596451 |
|   88 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |     1379599079 |
|   89 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |     1379683400 |
|   90 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |     1379686913 |
|   91 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |     1380177620 |
|   92 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |     1380198914 |
|   93 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |     1380357536 |
|   94 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |     1380515127 |
|   95 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |     1380536593 |
|   96 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |     1380592927 |
|   97 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |     1380906548 |
