MariaDB [kokiri_apr23]> select cast(revision as integer) rev,repository,branch from changes where length(revision) < 6 group by 1;
+------+---------------------------------------------------+---------------------------------------+
| rev  | repository                                        | branch                                |
|   91 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |
|   92 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |
|   93 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |
|   94 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |
|   95 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |
|   96 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |
|   97 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |
|   98 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |
|   99 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |
|  100 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |
|  101 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |
|  102 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |
|  103 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |
|  104 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |
|  105 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |
|  106 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |
|  107 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |
|  108 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |
|  109 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |
|  110 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |
|  111 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |
|  112 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |
|  113 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |
|  114 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |
|  115 | ~maria-captains/mariadb-native-client/trunk       | c-client-trunk                        |
|  116 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  117 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  118 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  119 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  120 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  121 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  122 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  123 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  124 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  125 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  126 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  127 | ~maria-captains/maria/10.1                        | 10.1                                  |
|  128 | ~maria-captains/maria/10.1                        | 10.1                                  |
